window_length,duration_minutes,sampling_interval_minutes,value_mean,value_std,value_min,value_max,value_median,value_q25,value_q75,value_range,value_iqr,value_first,value_last,value_trend,value_abs_diff_mean,value_abs_diff_std,value_max_jump,value_energy,peak_to_mean_ratio,source_file,anomaly
48,235.0,5.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,400.0,1.0,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,400.0,1.0,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,400.0,1.0,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,32.0,20.784609690826528,20.0,68.0,20.0,20.0,32.0,48.0,12.0,20.0,68.0,1.1254884932696485,1.0212765957446808,6.92663487638325,48.0,1456.0,2.125,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,61.279999999999994,24.229304571118007,20.0,79.52,72.8,56.0,78.08,59.519999999999996,22.08,20.0,79.52,1.4706382978723402,1.2663829787234042,7.03255542838642,48.0,4342.297599999999,1.297650130548303,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,79.2512,0.9691721828447222,77.6,79.9808,79.71199999999999,79.03999999999999,79.9232,2.380800000000008,0.8832000000000022,77.6,79.9808,0.058825531914892815,0.05065531914893633,0.281302217135457,1.9200000000000017,6281.69199616,1.0092061697488492,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,79.970048,0.038766887313786906,79.904,79.99923199999998,79.98848000000001,79.9616,79.996928,0.09523199999998155,0.0353279999999927,79.904,79.99923199999998,0.0023530212765937035,0.002026212765957054,0.011252088685419062,0.07680000000000575,6395.210079993856,1.0003649366322749,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,79.99880192,0.0015506754925530414,79.99616,79.99996928,79.9995392,79.99846399999998,79.99987712000002,0.0038092799999986937,0.001413120000037793,79.99616,79.99996928,9.412085106355565e-05,8.104851063827009e-05,0.0004500835474142653,0.0030719999999746506,6399.80831103999,1.000014592218533,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,53.59995207680001,26.617243518146797,22.3999987712,79.99996928,55.999920128000014,29.5999950848,79.99987712000002,57.5999705088,50.39988203520002,79.99984640000002,22.3999987712,-1.7257452581794204,1.2255339018893612,7.034212259345764,47.999975424,3581.4325151395847,1.4925380747612063,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
48,235.0,5.0,23.743998083050002,4.845858433158583,20.0959999508,31.999993856,21.4399992627,20.38399980335,24.7999975424,11.9039939052,4.415997739049999,31.999993856,20.0959999508,-0.2941275089825449,0.2532764660680851,1.4065103655446323,9.5999950848,587.2597889220962,1.3477087449246241,artificialNoAnomaly/artificialNoAnomaly/art_daily_no_noise.csv,0
